index,cls,afs5_3,afs7_3,afs9_3,afs5_4,afs7_4,afs9_4,afs5_5,afs7_5,afs9_5,cnt,ar5_3,ar7_3,ar9_3,ar5_4,ar7_4,ar9_4,ar5_5,ar7_5,ar9_5,kpi5_3,kpi7_3,kpi9_3,kpi5_4,kpi7_4,kpi9_4,kpi5_5,kpi7_5,kpi9_5
0,1234,45646,60091,73144,24228,31622,38308,14555,19010,23102,86746,0.53,0.69,0.84,0.28,0.36,0.44,0.17,0.22,0.27,6795.64,19740.43,43352.74,531.85,1475.36,3263.23,71.51,202.42,454.72
1,12345,22031,28204,33578,11240,14190,16802,6538,8272,9831,40896,0.54,0.69,0.82,0.27,0.35,0.41,0.16,0.2,0.24,3469.09,9265.27,18513.83,221.24,608.4,1158.01,26.78,66.18,135.9
2,12354,5910,8281,10675,2859,4041,5324,1688,2431,3212,17896,0.33,0.46,0.6,0.16,0.23,0.3,0.09,0.14,0.18,212.39,806.04,2305.8,11.71,49.17,143.75,1.23,6.67,18.73
3,1243,9182,12922,16577,5048,7117,9130,3222,4522,5777,23058,0.4,0.56,0.72,0.22,0.31,0.4,0.14,0.2,0.25,587.65,2269.31,6187.33,53.75,212.02,584.32,8.84,36.18,90.27
4,12435,4362,5655,6748,2424,3108,3681,1522,1944,2300,7005,0.62,0.81,0.96,0.35,0.44,0.53,0.22,0.28,0.33,1039.59,3005.3,5970.2,103.93,264.75,548.02,16.21,42.67,82.66
5,12453,2788,4037,5356,1527,2212,2917,979,1394,1837,8320,0.34,0.49,0.64,0.18,0.27,0.35,0.12,0.17,0.22,109.58,474.95,1404.04,8.91,43.54,125.07,1.69,6.85,19.56
6,12534,1823,2416,2954,1057,1403,1715,644,864,1063,4316,0.42,0.56,0.68,0.24,0.33,0.4,0.15,0.2,0.25,135.06,424.29,928.83,14.61,50.42,109.76,2.17,6.91,16.61
7,12543,2001,2906,3840,1153,1681,2198,712,1021,1343,7238,0.28,0.4,0.53,0.16,0.23,0.3,0.1,0.14,0.19,43.93,185.98,571.69,4.72,20.45,59.35,0.71,2.8,9.21
8,1324,3728,4932,6051,2190,2906,3537,1373,1841,2235,6968,0.54,0.71,0.87,0.31,0.42,0.51,0.2,0.26,0.32,587.03,1765.22,3984.6,65.24,215.3,469.19,10.98,32.36,73.24
9,13245,3741,4864,5887,2080,2666,3210,1262,1616,1951,6194,0.6,0.79,0.95,0.34,0.43,0.52,0.2,0.26,0.31,808.06,2398.14,5047.37,81.75,211.97,451.35,10.1,28.4,58.12
10,13254,1146,1517,1888,596,814,1031,382,509,642,2537,0.45,0.6,0.74,0.23,0.32,0.41,0.15,0.2,0.25,104.43,327.67,765.06,7.25,26.67,71.06,1.29,4.07,10.03
11,1342,6324,8961,11610,3645,5134,6600,2333,3277,4206,16487,0.38,0.54,0.7,0.22,0.31,0.4,0.14,0.2,0.26,347.01,1411.03,3982.23,38.81,152.95,422.4,6.4,26.22,73.92
12,13425,1266,1651,1980,769,996,1162,477,626,743,1944,0.65,0.85,1.02,0.4,0.51,0.6,0.25,0.32,0.38,347.68,1013.92,2101.19,49.22,132.12,250.99,7.45,20.51,40.77
13,13452,1061,1593,2091,606,916,1185,394,595,760,2714,0.39,0.59,0.77,0.22,0.34,0.44,0.15,0.22,0.28,62.94,327.17,954.61,6.45,36,100.94,1.33,6.34,16.68
14,13524,563,715,856,331,433,519,218,290,348,1020,0.55,0.7,0.84,0.32,0.42,0.51,0.21,0.28,0.34,93.67,245.25,507.35,10.85,32.08,68.85,2.02,6.37,13.68
15,13542,1309,1953,2534,756,1099,1384,476,699,874,3919,0.33,0.5,0.65,0.19,0.28,0.35,0.12,0.18,0.22,47.04,244.13,695.9,5.19,24.13,59.34,0.82,4.08,9.31
16,1423,1394,1958,2505,820,1134,1444,527,740,947,3730,0.37,0.52,0.67,0.22,0.3,0.39,0.14,0.2,0.25,70.61,275.31,753.41,8.73,30.62,85.66,1.45,5.92,14.8
17,14235,1402,1819,2206,821,1047,1258,528,685,824,2254,0.62,0.81,0.98,0.36,0.46,0.56,0.23,0.3,0.37,334.14,966.69,2076.27,38.3,101.91,220.92,6.42,18.5,41.74
18,14253,420,577,741,267,354,450,176,235,304,838,0.5,0.69,0.88,0.32,0.42,0.54,0.21,0.28,0.36,52.5,189.55,504.97,8.75,26.23,70.86,1.63,5.16,14.18
19,1432,2585,3699,4852,1509,2142,2793,998,1420,1838,7269,0.36,0.51,0.67,0.21,0.29,0.38,0.14,0.2,0.25,120.61,490.68,1459.3,13.97,52.24,153.26,2.74,11.36,28.72
20,14325,1139,1464,1764,723,918,1085,460,592,705,1758,0.65,0.83,1,0.41,0.52,0.62,0.26,0.34,0.4,312.8,837.1,1764,49.83,129.08,258.59,8.08,23.27,45.12
21,14352,426,630,819,233,353,470,147,225,304,1012,0.42,0.62,0.81,0.23,0.35,0.46,0.15,0.22,0.3,31.56,150.15,435.25,2.83,15.13,45.75,0.5,2.4,8.21
22,14523,806,1080,1338,471,636,786,308,429,536,1784,0.45,0.61,0.75,0.26,0.36,0.44,0.17,0.24,0.3,73.45,245.14,564.47,8.28,29.67,66.95,1.51,5.93,14.47
23,14532,1205,1783,2277,672,952,1220,445,629,822,3407,0.35,0.52,0.67,0.2,0.28,0.36,0.13,0.18,0.24,51.66,250.7,684.84,5.38,20.9,56.92,0.98,3.67,11.36
24,15234,566,788,1011,365,494,613,229,325,400,1423,0.4,0.55,0.71,0.26,0.35,0.43,0.16,0.23,0.28,36.22,131.1,361.85,6.42,21.18,48.74,0.94,3.95,8.78
