index,cls,kpi5_3,afr5_3,kpi7_3,afr7_3,kpi9_3,afr9_3,kpi5_4,afr5_4,kpi7_4,afr7_4,kpi9_4,afr9_4,kpi5_5,afr5_5,kpi7_5,afr7_5,kpi9_5,afr9_5
0,1234,6795.64,1.359,19740.43,1.177,43352.74,1.034,531.85,1.1,1475.36,0.93,3263.23,0.905,71.51,0.98,202.42,1.15,454.72,1.059
1,12345,3469.09,1.359,9265.27,1.177,18513.83,1.034,221.24,1.1,608.4,0.93,1158.01,0.905,26.78,0.98,66.18,1.15,135.9,1.031
2,12354,212.39,-0.024,806.04,0,2305.8,0.064,11.71,-0.651,49.17,-0.603,143.75,-0.566,1.23,-0.835,6.67,-0.746,18.73,-0.72
3,1243,587.65,1.359,2269.31,1.177,6187.33,1.034,53.75,0.601,212.02,0.712,584.32,0.763,8.84,0.187,36.18,0.38,90.27,0.349
4,12435,1039.59,1.359,3005.3,1.177,5970.2,1.034,103.93,1.1,264.75,0.93,548.02,0.653,16.21,0.98,42.67,0.627,82.66,0.235
5,12453,109.58,-0.496,474.95,-0.411,1404.04,-0.352,8.91,-0.735,43.54,-0.648,125.07,-0.623,1.69,-0.773,6.85,-0.739,19.56,-0.708
6,12534,135.06,-0.379,424.29,-0.474,928.83,-0.572,14.61,-0.565,50.42,-0.593,109.76,-0.669,2.17,-0.709,6.91,-0.736,16.61,-0.752
7,12543,43.93,-0.798,185.98,-0.769,571.69,-0.736,4.72,-0.859,20.45,-0.835,59.35,-0.821,0.71,-0.905,2.8,-0.893,9.21,-0.862
8,1324,587.03,1.359,1765.22,1.177,3984.6,0.838,65.24,0.943,215.3,0.738,469.19,0.416,10.98,0.474,32.36,0.234,73.24,0.095
9,13245,808.06,1.359,2398.14,1.177,5047.37,1.034,81.75,1.1,211.97,0.711,451.35,0.362,10.1,0.356,28.4,0.083,58.12,-0.131
10,13254,104.43,-0.52,327.67,-0.593,765.06,-0.647,7.25,-0.784,26.67,-0.785,71.06,-0.786,1.29,-0.827,4.07,-0.845,10.03,-0.85
11,1342,347.01,0.595,1411.03,0.751,3982.23,0.837,38.81,0.156,152.95,0.235,422.4,0.274,6.4,-0.141,26.22,0,73.92,0.105
12,13425,347.68,0.598,1013.92,0.258,2101.19,-0.031,49.22,0.466,132.12,0.067,250.99,-0.243,7.45,0,20.51,-0.218,40.77,-0.391
13,13452,62.94,-0.711,327.17,-0.594,954.61,-0.56,6.45,-0.808,36,-0.709,100.94,-0.695,1.33,-0.821,6.34,-0.758,16.68,-0.751
14,13524,93.67,-0.57,245.25,-0.696,507.35,-0.766,10.85,-0.677,32.08,-0.741,68.85,-0.792,2.02,-0.729,6.37,-0.757,13.68,-0.796
