index,code,work_date,md_13,n_d13,p_d13,cls_13,cls_17,cls_25,ec_13,ec_17,ec_25,sc_13,sc_17,sc_25,high,low,pclose,pctchg,close,hec,hsc,df13,chr,hhr,clr,llr
15,sh.600021,2021-12-16,2021-12-15,1,15,9,9,9,14.96,14.96,14.96,9.96,8.69,8.69,15.06,14.35,14.96,-2.473,14.59,14.96,9.96,N,-2.473,0.668,30.949,29.345
20,sh.600027,2021-12-16,2021-12-15,1,15,8,8,8,5.02,5.02,5.02,3.63,3.47,3.47,5.14,4.87,5.02,-2.191,4.91,5.02,3.63,N,-2.191,2.39,25.498,24.701
37,sh.600055,2021-12-16,2021-12-15,1,9,8,8,8,25.19,25.19,25.19,22.01,22.01,17.16,25.58,24.88,25.19,-0.556,25.05,25.19,22.01,N,-0.556,1.548,12.068,11.393
42,sh.600060,2021-12-16,2021-12-14,2,8,6,-6,5,13.93,12.89,13.95,12.89,13.95,11.82,13.97,13.39,13.47,3.118,13.89,13.95,13.95,N,-0.445,0.148,-0.445,-4.157
63,sh.600085,2021-12-16,2021-12-08,8,30,7,8,7,38.37,38.37,38.37,32.27,32.82,32.27,38.95,37.47,37.47,1.441,38.01,38.37,32.82,N,-0.961,1.548,13.851,12.41
74,sh.600099,2021-12-16,2021-12-15,1,9,9,9,9,8.4,8.4,8.4,7.15,7.15,6.78,8.64,8.1,8.4,-0.714,8.34,8.4,7.15,N,-0.714,2.857,14.167,11.31
88,sh.600114,2021-12-16,2021-12-03,13,8,9,9,7,12.91,12.91,12.91,11.45,11.39,9.79,13.06,11.96,12,5.917,12.71,12.91,11.45,N,-1.667,1.25,10.5,4.25
98,sh.600125,2021-12-16,2021-12-15,1,16,4,2,2,5.16,5.16,5.16,4.73,4.73,4.66,5.18,5.11,5.16,-0.775,5.12,5.16,4.73,N,-0.775,0.388,7.558,7.364
101,sh.600128,2021-12-16,2021-12-14,2,15,5,3,2,7.19,7.19,7.19,6.43,6.43,6.08,7.22,7.06,7.06,1.558,7.17,7.19,6.43,N,-0.283,0.425,10.482,8.924
112,sh.600141,2021-12-16,2021-12-10,6,3,7,8,-7,42.57,42.57,37.51,37.51,37.51,43.7,43.8,41.36,40.61,3.571,42.06,42.57,43.7,N,-4.038,0.246,-1.256,-2.98
117,sh.600149,2021-12-16,2021-12-15,1,9,6,7,5,5.28,5.28,5.28,4.46,4.46,4.39,5.36,5.11,5.28,-1.705,5.19,5.28,4.46,N,-1.705,1.515,13.826,12.311
